DATE,PRICE_HIGH,PRICE_LOW,PRICE_OPEN,TRADING_VOLUME,PRICE_LAST
1.67E+12,0.05938,0.05933,0.05937,136088,0.05933
1.67E+12,0.05939,0.05937,0.05939,19109,0.05937
1.67E+12,0.05941,0.05936,0.05936,117663,0.05939
1.67E+12,0.05939,0.05937,0.05938,62624,0.05937
1.67E+12,0.05937,0.05935,0.05937,62649,0.05937
1.67E+12,0.05939,0.05937,0.05937,69712,0.05938
1.67E+12,0.05938,0.05936,0.05936,19856,0.05937
1.67E+12,0.05936,0.0593,0.05931,46751,0.05935
1.67E+12,0.05933,0.05928,0.05929,255502,0.05931
1.67E+12,0.05931,0.05926,0.05931,216683,0.05929
1.67E+12,0.05933,0.05931,0.05932,58257,0.05932
1.67E+12,0.05932,0.0593,0.05931,224208,0.05931
1.67E+12,0.05931,0.0593,0.05931,26462,0.05931
1.67E+12,0.05933,0.05931,0.05932,39189,0.05931
1.67E+12,0.05933,0.05931,0.05931,13429,0.05933
1.67E+12,0.05933,0.05931,0.05933,56239,0.05931
1.67E+12,0.05932,0.0593,0.05932,206809,0.05932
1.67E+12,0.05933,0.05931,0.05933,178663,0.05932
1.67E+12,0.0594,0.05933,0.0594,428460,0.05933
1.67E+12,0.05941,0.05939,0.05939,151413,0.0594
1.67E+12,0.05946,0.0594,0.05946,724347,0.0594
1.67E+12,0.05948,0.05946,0.05948,30138,0.05946
1.67E+12,0.05947,0.05946,0.05947,27982,0.05947
1.67E+12,0.05948,0.05946,0.05947,177276,0.05946
1.67E+12,0.05947,0.05942,0.05943,257411,0.05947
1.67E+12,0.05944,0.05942,0.05944,49212,0.05943
1.67E+12,0.05945,0.05943,0.05945,33082,0.05944
1.67E+12,0.05945,0.05943,0.05944,179079,0.05944
1.67E+12,0.05957,0.05944,0.05955,1854832,0.05944
1.67E+12,0.05959,0.05953,0.05959,76975,0.05953
1.67E+12,0.05962,0.05957,0.0596,555484,0.05959
1.67E+12,0.05963,0.0596,0.05963,453243,0.05961
1.67E+12,0.05964,0.05963,0.05964,4971,0.05963
1.67E+12,0.05969,0.05964,0.05967,248499,0.05964
1.67E+12,0.05973,0.05967,0.05971,509343,0.05967
1.67E+12,0.05978,0.05972,0.05972,1173426,0.05972
1.67E+12,0.05973,0.05964,0.05968,347684,0.05973
1.67E+12,0.05974,0.05967,0.05971,416821,0.05968
1.67E+12,0.05973,0.05969,0.05973,102304,0.0597
1.67E+12,0.0598,0.05973,0.0598,506769,0.05973
1.67E+12,0.05983,0.05979,0.05983,326393,0.05979
1.67E+12,0.05983,0.05979,0.0598,218060,0.05983
1.67E+12,0.05983,0.05976,0.05983,438947,0.0598
1.67E+12,0.0599,0.05981,0.0599,1596155,0.05983
1.67E+12,0.0599,0.05986,0.05988,236142,0.0599
1.67E+12,0.0599,0.05988,0.05989,221748,0.05988
1.67E+12,0.05989,0.05988,0.05988,29264,0.05989
1.67E+12,0.05988,0.05981,0.05986,645036,0.05988
1.67E+12,0.05985,0.05983,0.05983,28012,0.05985
1.67E+12,0.05982,0.05981,0.05981,78143,0.05982
1.67E+12,0.05986,0.05982,0.05985,372295,0.05982
1.67E+12,0.05986,0.05984,0.05984,75667,0.05985
1.67E+12,0.05985,0.05984,0.05985,38348,0.05984
1.67E+12,0.05987,0.05983,0.05983,423314,0.05985
1.67E+12,0.05983,0.05977,0.05979,1115687,0.05983
1.67E+12,0.0598,0.05976,0.05976,44026,0.05979
1.67E+12,0.05978,0.05976,0.05977,183939,0.05976
1.67E+12,0.05981,0.05976,0.05981,125987,0.05977
1.67E+12,0.05979,0.05977,0.05977,42310,0.05979
1.67E+12,0.05975,0.05971,0.05972,29634,0.05975
1.67E+12,0.05974,0.05971,0.05974,253445,0.05972
1.67E+12,0.05978,0.05973,0.05975,169428,0.05974
1.67E+12,0.05974,0.05971,0.05973,69351,0.05972
1.67E+12,0.05974,0.05973,0.05973,35075,0.05974
1.67E+12,0.05972,0.05966,0.05966,45004,0.05972
1.67E+12,0.05967,0.05964,0.05967,233137,0.05965
1.67E+12,0.05968,0.05964,0.05966,311959,0.05966
1.67E+12,0.05968,0.05967,0.05967,12897,0.05967
1.67E+12,0.0597,0.05966,0.05967,97178,0.05967
1.67E+12,0.05968,0.05958,0.05959,98981,0.05967
1.67E+12,0.05958,0.05955,0.05956,65564,0.05958
1.67E+12,0.05956,0.0595,0.05951,106548,0.05956
1.67E+12,0.05956,0.05951,0.05955,100451,0.05951
1.67E+12,0.05955,0.05953,0.05953,30984,0.05955
1.67E+12,0.05956,0.05952,0.05952,147837,0.05955
1.67E+12,0.05953,0.0595,0.0595,52657,0.05952
1.67E+12,0.05953,0.05951,0.05953,101935,0.05951
1.67E+12,0.05961,0.05953,0.05955,176773,0.05953
1.67E+12,0.05956,0.05955,0.05955,77221,0.05956
